Stany magazynowe towarów: na dzień 2026-09-07, jednostka dodatkowa1	
Kod towaru		nazwa towaru		jm		stan	cena	wartość		
065S09/11 E		Sklejka liściasta wodoodporna 6,5x1525x3050 WG/WG		szt		0	0,00	0,00		
065S09/12 E		Sklejka liściasta wodoodporna 6,5x1500x3000 WG/WG		szt		0	0,00	0,00		
065S09/39 E		Sklejka liściasta wodoodporna 6,5x1220x2500 WG/WG		szt		0	0,00	0,00		
065S09/60 E		Sklejka liściasta wodoodporna 6,5x1250x2750 WG/WG		szt		0	0,00	0,00		
065S09/62 E		Sklejka liściasta wodoodporna 6,5x2150x3050 WG/WG		szt		0	0,00	0,00		
065S09/75 E		Sklejka liściasta wodoodporna 6,5x2150x4000 WGE/WGE		szt		0	0,00	0,00		
065S09/90 E		Sklejka liściasta wodoodporna 6,5x1525x3340 WG/WG		szt		0	0,00	0,00		
065S10/03 E S2S		Sklejka liściasta wodoodporna 6,5x1220x2440 C/C		szt		0	0,00	0,00		
065S10/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 C/C		szt		0	0,00	0,00		
065S10/05 E S2S		Sklejka liściasta wodoodporna 6,5x1250x2500 C/C		szt		126,9165	86,21	10941,61		
065S10/05 E TB		Sklejka bintangor/topola 6,5x1250x2500 C/C		szt		0	0,00	0,00		
065S10/06 E		Sklejka liściasta wodoodporna 6,5x2500x1250 C/C		szt		0	0,00	0,00		
065S10/06 E S2S		Sklejka liściasta wodoodporna 6,5x2500x1250 C/C		szt		0	0,00	0,00		
065S10/12 E S2S		Sklejka liściasta wodoodporna 6,5x1500x3000 C/C		szt		0	0,00	0,00		
065S11/03 E		Sklejka liściasta wodoodporna 6,5x1220x2440 kilo		szt		89,9779	57,50	5173,52		
065S11/03 E PQ		Sklejka liściasta wodoodporna 6,5x1220x2440		szt		0	0,00	0,00		
065S11/03 PQ		Sklejka liściasta foliowana 6,5x1220x2440		szt		0	0,00	0,00		
065S11/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 kilo		szt		0	0,00	0,00		
065S11/05 E PQ		Sklejka liściasta wodoodporna 6,5x1250x2500		szt		0	0,00	0,00		
065S11/05 E PQ-F		Sklejka liściasta wodoodporna 6,5x1250x2500		szt		0	0,00	0,00		
065S11/07 E		Sklejka liściasta wodoodporna 6,5x1500x2500		szt		0	0,00	0,00		
